run_id,seed,final_mean_cooperation,final_std_cooperation_between_communities,final_mean_payoff,expected_global_cooperation,observed_global_cooperation,num_intercommunity_edges,corr_size_cooperation,corr_degree_cooperation,intercommunity_mutual_coop_rate,mean_external_payoff,mean_b_eff,std_b_eff,b,Tin,social_adaptation_rate,epsilon_perception,epsilon_execution,delta_D,delta_pi,rho,num_epochs,rounds_per_epoch
13,1301000,0.36448040303953,0.0612769062251327,2.820634845204345,0.3810980999120594,0.35,1101,-0.0252379984572059,0.1535698121651135,0.1198910081743869,10.155,1.5382318119027676,0.029207974463751,1.5,800,0.2,0.02,0.01,0.05,0.1,0.1,10,120
10,1001000,0.3609024094561129,0.0581974500935532,2.812525749061681,0.4027094078050491,0.48,1170,-0.1509712573809608,-0.0940304947347636,0.2222222222222222,13.81,1.539982092217148,0.0249918039383832,1.5,800,0.2,0.02,0.01,0.05,0.1,0.1,10,120
11,1101000,0.3477875756700617,0.0651306166504543,2.6931013097340326,0.3909284734653749,0.39,1069,0.0414510114812376,0.0139658425327739,0.147801683816651,11.02,1.518573924243705,0.0263860952682617,1.5,800,0.2,0.02,0.01,0.05,0.1,0.1,10,120
12,1201000,0.3666409170455522,0.0679226607168076,2.813518191754361,0.418405193238185,0.4,1108,0.0300562805771893,0.1527133308366239,0.1615523465703971,12.025,1.5220006223221711,0.0304534671193188,1.5,800,0.2,0.02,0.01,0.05,0.1,0.1,10,120
14,1401000,0.3609657154960476,0.0668822780604936,2.811863181679557,0.3823744562596907,0.37,1175,-0.1153760871445268,0.0053469215512372,0.1404255319148936,11.46,1.549820633834902,0.0240302469950535,1.5,800,0.2,0.02,0.01,0.05,0.1,0.1,10,120
5,501000,0.3620138584476169,0.0625457648849141,2.8154691465422377,0.3760701449264272,0.29,1134,-0.1873479410833408,-0.1117751439569889,0.0952380952380952,9.165,1.5413516559575529,0.0552148246318617,1.5,800,0.2,0.02,0.01,0.05,0.1,0.2,10,120
0,1000,0.3558032704042268,0.065158253596324,2.7818181664344586,0.3720295227110434,0.37,1123,0.0337890829362767,0.0990244566557802,0.1166518254674977,10.63,1.551695811061398,0.0496747106519112,1.5,800,0.2,0.02,0.01,0.05,0.1,0.2,10,120
9,901000,0.3442506902226684,0.0613493315832527,2.701671300433857,0.3929361442175942,0.38,1055,0.0344028108673782,0.0256254188409586,0.1554502369668246,10.66,1.5501898145776951,0.054308513938541,1.5,800,0.2,0.02,0.01,0.05,0.1,0.2,10,120
8,801000,0.3497001860781434,0.0734761935074254,2.7012254855037283,0.3682593457237211,0.35,1097,0.0833213374202253,0.1244635883924132,0.1157702825888787,10.235,1.5229619877361884,0.0552494020671784,1.5,800,0.2,0.02,0.01,0.05,0.1,0.2,10,120
7,701000,0.3541698179480929,0.0675864368959316,2.840783885934804,0.3833069645871368,0.44,1098,-0.0205453727448806,-0.010666790220999,0.1812386156648451,12.365,1.6213141430160511,0.0607194118727294,1.5,800,0.2,0.02,0.01,0.05,0.1,0.2,10,120
4,401000,0.3668655418912069,0.0654563705492737,2.847338581708341,0.4031290654646026,0.47,1155,0.0896657104546999,0.1895257181987142,0.2268398268398268,14.36,1.5494856185868835,0.053991412299429,1.5,800,0.2,0.02,0.01,0.05,0.1,0.2,10,120
2,201000,0.3640038613704851,0.0502607064626862,2.795045199527322,0.4007984271091827,0.37,1106,0.1164956624812274,0.0853447044801857,0.1329113924050632,10.755,1.504805183314258,0.0562098383420436,1.5,800,0.2,0.02,0.01,0.05,0.1,0.2,10,120
1,101000,0.3685698609168079,0.0729062413069438,2.8586034069321085,0.4053080640634213,0.41,1151,-0.0611697174608074,0.2274724042448276,0.1520417028670721,11.825,1.5527349903102263,0.0537398903558981,1.5,800,0.2,0.02,0.01,0.05,0.1,0.2,10,120
6,601000,0.3520645201228957,0.0628162786932359,2.8000708528496,0.3890258473168054,0.39,1133,0.103917789100154,-0.0414890447392019,0.1571050308914386,11.405,1.5952083614008348,0.0545949612358062,1.5,800,0.2,0.02,0.01,0.05,0.1,0.2,10,120
3,301000,0.3556928226292976,0.0593593053529884,2.823325955408755,0.3750833753839908,0.47,1150,-0.0276377286017305,0.079288920662844,0.217391304347826,13.505,1.5825666331522976,0.0541460170134335,1.5,800,0.2,0.02,0.01,0.05,0.1,0.2,10,120
13,1301000,0.3769715207901247,0.0698777273843096,2.9553207422704366,0.3718532669549252,0.34,1101,-0.0473525096691541,-0.0045144275430871,0.108991825613079,9.96,1.5865843421731836,0.0587510115371832,1.5,800,0.2,0.02,0.01,0.05,0.1,0.2,10,120
12,1201000,0.3680072330963185,0.0744247761466157,2.8803923837123744,0.3566978352051533,0.34,1108,-0.1436825138016224,-0.0021853643820479,0.1254512635379061,10.115,1.5712463980617593,0.0637619319504689,1.5,800,0.2,0.02,0.01,0.05,0.1,0.2,10,120
11,1101000,0.3450449288219005,0.0599987911871115,2.695472302691136,0.3975244891539226,0.39,1069,-0.0139074322357168,-0.0605794292127792,0.1515434985968194,10.92,1.5483407267056593,0.0570551755745652,1.5,800,0.2,0.02,0.01,0.05,0.1,0.2,10,120
10,1001000,0.3559916177038127,0.063106589761255,2.7650043487492115,0.4372070568588567,0.46,1170,0.1710303517529343,0.0991852277094679,0.2025641025641025,13.485,1.5394728670740068,0.0548541234551918,1.5,800,0.2,0.02,0.01,0.05,0.1,0.2,10,120
14,1401000,0.3454781153756233,0.0637996043406229,2.78380782854851,0.3860917720433796,0.39,1175,0.0040325195875601,-0.0194897300950002,0.1489361702127659,11.81,1.612065870508718,0.046941495009423,1.5,800,0.2,0.02,0.01,0.05,0.1,0.2,10,120
5,501000,0.3699745335506325,0.0823888054190212,2.924234816249045,0.3990775664478969,0.35,1134,-0.1021443960447844,-0.0761956215074037,0.1278659611992945,10.58,1.5887146801083796,0.1135181054525902,1.5,800,0.2,0.02,0.01,0.05,0.1,0.4,10,120
8,801000,0.3511261947800018,0.0709420514028701,2.737074123209151,0.4111320574319248,0.4,1097,-0.0193197253618483,0.0313149021437089,0.1513217866909753,11.15,1.534162353037402,0.1109110294565885,1.5,800,0.2,0.02,0.01,0.05,0.1,0.4,10,120
9,901000,0.3301181467351595,0.0673865812682119,2.790973154185352,0.3505804365776924,0.34,1055,-0.1273019673998478,0.0897698142660812,0.1308056872037914,9.96,1.7163284772334864,0.1076113857426339,1.5,800,0.2,0.02,0.01,0.05,0.1,0.4,10,120
3,301000,0.3526138138168517,0.0696744036681331,2.819739359798473,0.3793149929822348,0.51,1150,-0.0994570785343671,-0.2916231135677193,0.2269565217391304,14.01,1.599765233924399,0.1004688254192265,1.5,800,0.2,0.02,0.01,0.05,0.1,0.4,10,120
0,1000,0.3492889755087778,0.0630993322938876,2.7639905793368733,0.3860559622823278,0.38,1123,-0.0824483703222554,-0.0640313018744239,0.126447016918967,10.97,1.5649461016088395,0.1015192984501956,1.5,800,0.2,0.02,0.01,0.05,0.1,0.4,10,120
2,201000,0.3488054150084997,0.0598920331010059,2.759397875528397,0.3770611112867734,0.4,1106,0.1044868831004703,-0.2547107830113223,0.1464737793851717,11.04,1.574760596014248,0.1211369643708026,1.5,800,0.2,0.02,0.01,0.05,0.1,0.4,10,120
4,401000,0.3825686866935445,0.0684680792365682,3.100332900743057,0.435552620893343,0.5,1155,-0.0657242476540694,0.0815672323027858,0.2536796536796536,14.815,1.679001551440657,0.113172022883776,1.5,800,0.2,0.02,0.01,0.05,0.1,0.4,10,120
6,601000,0.3306038349687558,0.062158453071367,2.7234217790687607,0.4280240952579043,0.38,1133,0.2788663277637483,0.047912736665143,0.1588702559576346,11.385,1.6421702829075122,0.1114873056445459,1.5,800,0.2,0.02,0.01,0.05,0.1,0.4,10,120
1,101000,0.3447595326013416,0.0703287306462873,2.726607079196043,0.4403625737517169,0.45,1151,0.1767777252401728,0.0419205046197366,0.1807124239791485,12.71,1.5634231270141503,0.09792481654707,1.5,800,0.2,0.02,0.01,0.05,0.1,0.4,10,120
7,701000,0.3459637141657861,0.0725702208580943,2.9303339706750093,0.4018297150749577,0.47,1098,-0.1525563079254463,-0.150834460249033,0.2112932604735883,13.07,1.7387198040353815,0.1109466589240054,1.5,800,0.2,0.02,0.01,0.05,0.1,0.4,10,120
13,1301000,0.348980531592215,0.07347219168186,2.7999922452127173,0.4037490952096007,0.37,1101,-0.0305771277462566,-0.0964643479404156,0.1326067211625794,10.675,1.610247880809247,0.1244799529741809,1.5,800,0.2,0.02,0.01,0.05,0.1,0.4,10,120
