run_id,seed,final_mean_cooperation,final_std_cooperation_between_communities,final_mean_payoff,expected_global_cooperation,observed_global_cooperation,num_intercommunity_edges,corr_size_cooperation,corr_degree_cooperation,intercommunity_mutual_coop_rate,mean_external_payoff,mean_b_eff,std_b_eff,corr_climate_cooperation,std_climate,avg_degree,std_b_base,b,Tin,social_adaptation_rate,epsilon_perception,epsilon_execution,delta_D,delta_pi,rho,num_epochs,rounds_per_epoch,het_b_lo,het_b_hi,spread,base_prob
16,1601000,0.2785548592589027,0.064609065398569,3.4104646554719675,0.3204921344626925,0.33,153,-0.2041001480011988,-0.1194039687936451,0.0784313725490196,1.38,2.667143832139717,0.6869295614540266,0.0173797262969882,0.3084196151043691,3.06,0.5904757925742388,2.5,800,0.2,0.02,0.01,0.05,0.1,0.2,10,120,1.5,3.5,1.0,0.02
21,2101000,0.286323290009684,0.0731894139482241,3.2690055258158623,0.3195706592986684,0.37,141,-0.0854664761888931,0.1448333480891425,0.1489361702127659,1.455,2.4995072709201143,0.7040046379151471,-0.0733609662899054,0.3250667485131074,2.82,0.5657542728199167,2.5,800,0.2,0.02,0.01,0.05,0.1,0.2,10,120,1.5,3.5,1.0,0.02
15,1501000,0.2790752539315969,0.0659679707307339,3.4680074385190864,0.2869052217035205,0.3,167,0.0094287774156264,0.0858001296426373,0.0778443113772455,1.46,2.7479084978215327,0.7063386546323809,-0.0529335448522569,0.2834127867288381,3.34,0.6086979956242673,2.5,800,0.2,0.02,0.01,0.05,0.1,0.2,10,120,1.5,3.5,1.0,0.02
14,1401000,0.2672473681311133,0.0640367605262265,3.4027170651012177,0.3213298563989802,0.32,152,-0.0788076933192706,-0.0585237927388982,0.1118421052631579,1.3,2.7991490018528564,0.7500373278648644,0.0831539361815467,0.3092406230154586,3.04,0.60845617852839,2.5,800,0.2,0.02,0.01,0.05,0.1,0.2,10,120,1.5,3.5,1.0,0.02
20,2001000,0.2723959764254425,0.0688341748712124,3.2909601286129995,0.3282643735442938,0.32,156,-0.0325089485323775,-0.063286975670871,0.0769230769230769,1.2,2.6613806871259684,0.6665874547063516,-0.0498837804433105,0.3130660926858463,3.12,0.5665208327015486,2.5,800,0.2,0.02,0.01,0.05,0.1,0.2,10,120,1.5,3.5,1.0,0.02
5,501000,0.2733557133245813,0.0687022895817818,3.4392928872634587,0.3336779659252658,0.26,157,0.101449582163396,-0.1000957162611553,0.0636942675159235,1.055,2.774399829971127,0.909944309323379,0.0152656932672319,0.2536902771431833,3.14,0.567501400002231,2.5,800,0.2,0.02,0.01,0.05,0.1,0.4,10,120,1.5,3.5,1.0,0.02
8,801000,0.2754226881413351,0.0711683367189896,3.477931490793021,0.3082066458929592,0.32,151,-0.2022235210614137,-0.1803599552810264,0.0993377483443708,1.275,2.795547869944436,0.8293063178150778,-0.141352455912093,0.2660375492501071,3.02,0.5641453579122263,2.5,800,0.2,0.02,0.01,0.05,0.1,0.4,10,120,1.5,3.5,1.0,0.02
0,1000,0.2641527605040246,0.0561851959131944,3.574010876681528,0.3089708841329164,0.31,156,0.0329001695719754,-0.0292817272996233,0.0897435897435897,1.42,2.9474855115420304,0.7600311884095672,-0.0880293386102093,0.2817271712798331,3.12,0.5310412270497411,2.5,800,0.2,0.02,0.01,0.05,0.1,0.4,10,120,1.5,3.5,1.0,0.02
9,901000,0.281155689312706,0.0541685181994066,3.5223329402250734,0.3347489358135331,0.32,146,0.065398350792361,0.1221403590046033,0.1232876712328767,1.245,2.7382859668996016,0.844751435338904,0.063485191691176,0.3273167174837601,2.92,0.580921017217269,2.5,800,0.2,0.02,0.01,0.05,0.1,0.4,10,120,1.5,3.5,1.0,0.02
1,101000,0.2766721337373549,0.0664954792230455,3.470630555807661,0.3389741717694502,0.36,164,-0.1456181131374371,-0.1251392264548282,0.1219512195121951,1.435,2.760823355412214,0.7489715090698591,0.157834801647408,0.2913122919410805,3.28,0.5644403545666535,2.5,800,0.2,0.02,0.01,0.05,0.1,0.4,10,120,1.5,3.5,1.0,0.02
4,401000,0.2812854294140914,0.0735370934546027,3.64999833694877,0.349353913868614,0.39,155,0.0521152992710292,-0.0255436102476102,0.1225806451612903,1.55,2.9247280855810605,0.9530812759964716,-0.0793325399765219,0.3257979621555472,3.1,0.6153340655678885,2.5,800,0.2,0.02,0.01,0.05,0.1,0.4,10,120,1.5,3.5,1.0,0.02
