eta_s,delta_pi,run_id,internal_cooperation,std_between_communities,mean_payoff
0.0,0.8,4,0.013744506046537654,0.009659326493540841,0.16145533595577632
0.0,0.8,8,0.014759365612631777,0.01274625358628651,0.17205007314811993
0.0,0.8,9,0.013662827358913934,0.011123430944437952,0.16257923080637274
0.0,0.8,7,0.01383209612608163,0.010510492435235734,0.16244088044138877
0.0,0.8,6,0.014983884058902573,0.009659014192159181,0.181990524431288
0.0,0.8,10,0.014485695510530664,0.0103290718948162,0.17049253414967439
0.0,1.0,0,0.0133659402744162,0.009713164916069682,0.15839338117673749
0.0,1.0,1,0.012998888882235193,0.008724533698306466,0.15347933629953125
0.0,1.0,5,0.010859446968461132,0.00967596072197914,0.12988937436432665
0.0,1.0,3,0.011735588541752757,0.009646192468261117,0.14004032637631655
0.0,1.0,2,0.011901922736741679,0.009318958005146444,0.14102464948474386
0.0,1.0,4,0.012517291540728566,0.010192388041838028,0.14956535750724106
0.0,1.0,8,0.013025081872362898,0.01020766457628587,0.15434939961896268
0.0,1.0,9,0.010841471610792283,0.009079318636751703,0.12911274370931566
0.0,1.0,7,0.010861209118516622,0.01045942467246156,0.13088760228066132
0.0,1.0,6,0.012233894359845083,0.009995704358618551,0.1447270919278959
0.0,1.0,10,0.01254630748399837,0.00921008668612978,0.14969488557781982
0.05,0.0,0,0.3931331532975653,0.05037816554568041,3.615824917561022
0.05,0.0,1,0.39207593324016904,0.06033087907564927,3.612462290894838
0.05,0.0,5,0.3826437854506272,0.0732566800122925,3.5400847201012398
0.05,0.0,2,0.38748136440448894,0.05031234543042638,3.5776095573860527
0.05,0.0,3,0.37377140768460804,0.060856592288173965,3.4824465702345555
0.05,0.0,4,0.381397253396796,0.0647636424086857,3.533007351032773
0.05,0.0,8,0.38622660245001156,0.052936400316316023,3.5583218936672516
0.05,0.0,6,0.3976936890419195,0.05390500667255993,3.634327770630778
0.05,0.0,7,0.368218179139094,0.05096831816135582,3.4474435872477387
0.05,0.0,9,0.3855142551229806,0.05066144339049863,3.545166426320681
0.05,0.0,10,0.38463047840627235,0.05689834018719936,3.557818394370187
0.05,0.02,0,0.303345015776138,0.04753477332330884,2.934478120356975
0.05,0.02,1,0.307850212993757,0.050887092628951865,2.9540012387295995
0.05,0.02,5,0.3096115534853794,0.05699497123657504,2.980525006285853
0.05,0.02,2,0.31476576857674143,0.05574712209948456,3.0281536053317426
0.05,0.02,4,0.3036367586740726,0.056297762103138874,2.939656849059286
0.05,0.02,3,0.30049833832451717,0.05328781299989542,2.915190741646458
0.05,0.02,8,0.3061696100189975,0.05954759629616746,2.9554464389039667
0.05,0.02,9,0.3124009124946518,0.05493403645408577,3.0196662139217683
0.05,0.02,7,0.30906315494948333,0.05905827994244168,2.9602292062241706
0.05,0.02,6,0.3136743008611384,0.05959974891307223,3.014720179388433
0.05,0.02,10,0.3038153625880455,0.04842294646490578,2.93025099283334
0.05,0.05,0,0.22173507952385493,0.05370303725898717,2.2520861847603664
0.05,0.05,1,0.2256111161394652,0.03774527917226003,2.3027659645568272
0.05,0.05,5,0.234443672850295,0.04653768258361151,2.3655131957786977
0.05,0.05,2,0.22308740254313192,0.047974205791541415,2.2580381779200445
0.05,0.05,3,0.23512625644003612,0.05713190867269046,2.362017439346248
0.05,0.05,4,0.22994348409683635,0.04969589531819603,2.3327863886167752
0.05,0.05,8,0.22671475391898865,0.04925795694863594,2.3006699969194186
0.05,0.05,9,0.2325424799424889,0.0589261323299033,2.3496094520182775
0.05,0.05,6,0.23042287053536248,0.05916726616230097,2.324636586424238
0.05,0.05,7,0.23596542843870577,0.04361309830971918,2.3828254760254954
0.05,0.05,10,0.22132370088763964,0.04376828292863172,2.2584320361379024
0.05,0.1,0,0.1558945867000374,0.03773050268708774,1.651886230871751
0.05,0.1,1,0.15998557645392933,0.04801105286510905,1.6842877598546062
0.05,0.1,5,0.15268138717377017,0.042277007564370264,1.6261585154008673
0.05,0.1,3,0.14864707534272126,0.03862564062224305,1.5943405270945066
