run_id,seed,final_mean_cooperation,final_std_cooperation_between_communities,final_mean_payoff,expected_global_cooperation,observed_global_cooperation,num_intercommunity_edges,corr_size_cooperation,corr_degree_cooperation,intercommunity_mutual_coop_rate,mean_external_payoff,mean_b_eff,std_b_eff,corr_climate_cooperation,std_b_base,b,Tin,social_adaptation_rate,epsilon_perception,epsilon_execution,delta_D,delta_pi,rho,num_epochs,rounds_per_epoch,spread,het_b_lo,het_b_hi
5,501000,0.2658780069847524,0.0568616522765573,3.22581503016154,0.3188184568157932,0.3,1134,-0.0922985484146208,-0.1098962928478128,0.0970017636684303,9.355,2.570328114372648,0.0443225249703462,-0.0507103385978753,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.1,10,120,0.0,,
8,801000,0.2788188825751618,0.056215727931126,3.2645683856133534,0.3530124779627445,0.35,1097,-0.0382634122521113,-0.0912755463348346,0.1048313582497721,9.86,2.523715128270061,0.0440223202607547,0.1174128161457735,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.1,10,120,0.0,,
9,901000,0.2707946837744653,0.0606335985106664,3.235815876960091,0.3790254394355661,0.4,1055,0.071678490564989,-0.0656808371203965,0.1649289099526066,11.115,2.554101098440083,0.0426281838123976,0.0218939880932704,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.1,10,120,0.0,,
0,1000,0.2680936061522423,0.0585449137042845,3.2374358128831573,0.3246463195239187,0.33,1123,-0.0895599369664503,0.0334125844776199,0.095280498664292,9.61,2.590912861439005,0.0397414297057355,0.0077996655629472,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.1,10,120,0.0,,
1,101000,0.2818263437194719,0.0628270575610885,3.3433503489134946,0.3557184029768321,0.36,1151,-0.1921453450505556,0.0053011831251577,0.1259774109470026,10.505,2.5634908201629782,0.0450667396401333,-0.0013827218694038,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.1,10,120,0.0,,
3,301000,0.2719406741669541,0.0594409410952983,3.250661237120243,0.3794334817879896,0.49,1150,-0.23930090649023,-0.1791511263955605,0.2217391304347826,13.89,2.560445075384144,0.0423392061294134,-0.0613125064646079,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.1,10,120,0.0,,
7,701000,0.270975601321114,0.0645535378427053,3.289435514063787,0.3635083455386518,0.38,1098,0.0340431449495329,-0.0900806571666317,0.1357012750455373,10.93,2.624717326472805,0.043942295433463,-0.0705442379424639,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.1,10,120,0.0,,
4,401000,0.2659048534706658,0.0527593674728464,3.2102254693214105,0.3732837229459948,0.43,1155,0.1842145592317667,0.0383345765646546,0.1878787878787878,13.025,2.580945671443419,0.0440612255148124,-0.0321584855859482,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.1,10,120,0.0,,
6,601000,0.2694620424228103,0.0552902755645988,3.269243572209694,0.3498210618068917,0.35,1133,-0.0898035284319184,-0.1022181443015439,0.1218005295675198,10.5,2.601346201525173,0.0481517531004104,0.007177026480704,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.1,10,120,0.0,,
2,201000,0.2773534133079083,0.0526154581665329,3.3151089492849493,0.320774548732339,0.29,1106,-0.2249444282509265,-0.111750805029985,0.0786618444846292,8.34,2.559476208666548,0.0458859388929218,0.0160333789456091,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.1,10,120,0.0,,
10,1001000,0.2665518536325245,0.0514681861784925,3.253711043317046,0.333810413117842,0.33,1170,-0.0947890126916972,-0.0459775866070389,0.1094017094017094,10.18,2.59996744174133,0.0423482498056959,0.0551286348814736,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.1,10,120,0.0,,
5,501000,0.2755712769205783,0.0549273561060588,3.3055341940519565,0.3602640329661928,0.3,1134,0.046154050095813,0.0525375431019391,0.0978835978835978,9.51,2.5862879748866514,0.0884830414498043,-0.0156347197770597,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.2,10,120,0.0,,
8,801000,0.2566785288794851,0.0503826533223633,3.118032972460409,0.379806304492242,0.41,1097,0.2720154952914163,0.1807297088895785,0.154056517775752,11.39,2.5609849533386138,0.0905893930013438,0.1026497530870317,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.2,10,120,0.0,,
0,1000,0.2691180274400357,0.0618589139798705,3.2973841987525487,0.3181623358074027,0.31,1123,-0.1401681804299533,-0.0186917567911024,0.0792520035618878,8.95,2.6227962018233826,0.0784480782660048,0.1248702310817505,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.2,10,120,0.0,,
