run_id,seed,Tin,b,social_adaptation_rate,final_mean_cooperation,final_std_cooperation_between_communities,final_mean_payoff,final_std_payoff_between_communities
53,95,50,1.01,0.03,0.43474655974655985,0.10025451591054199,2.600023028398028,0.5588266053607508
54,96,50,1.01,0.03,0.3610393155070817,0.102403733027818,2.1727754084496214,0.6066804007898522
55,97,50,1.01,0.03,0.3896392704687175,0.056667199599136825,2.326711848185866,0.33177609013533993
56,98,50,1.01,0.03,0.4015585074095453,0.09733094632967376,2.4187708351169697,0.5872450962379405
57,99,50,1.01,0.03,0.3138276501545266,0.06565346490496819,1.8969091617664016,0.4098316193840709
58,100,50,1.01,0.03,0.34453586743278974,0.13445816066792188,2.0692298386721566,0.8028002843320876
59,101,50,1.01,0.03,0.4183738110628867,0.05988955703718001,2.5210178132791574,0.37607953131870603
60,102,50,1.01,0.03,0.39452795580877414,0.07349960899772799,2.395365621036665,0.44669747727532205
61,103,50,1.01,0.03,0.3771566587190351,0.0844049411767964,2.245115135636321,0.49157481623205646
62,104,50,1.01,0.03,0.4426444625005529,0.07259553832894566,2.6860528357481868,0.4709908836946932
63,105,50,1.01,0.03,0.3972686513629842,0.12503553454653607,2.392383717718795,0.7413218686303438
64,106,50,1.01,0.03,0.40020557220557224,0.07745846338045165,2.41900356976357,0.4427689755087937
65,107,50,1.01,0.03,0.36049269993547106,0.12219814770271385,2.1867858647241176,0.759586738804717
66,108,50,1.01,0.03,0.3725973379340613,0.08887886347011946,2.230261578956985,0.5768963005762902
67,109,50,1.01,0.03,0.3468651638216856,0.10883338066540693,2.0941031142770274,0.65989392080435
68,110,50,1.01,0.03,0.4349701383689606,0.05083662006016315,2.6252212560879067,0.2938193352806266
69,111,50,1.01,0.03,0.2941924915672436,0.1402592505741247,1.758457438867982,0.8489131277839793
70,112,50,1.01,0.03,0.45698650342855657,0.14838567077210676,2.7441519126810747,0.9120450246570794
71,113,50,1.01,0.03,0.3590551300075501,0.08255783417351532,2.169721143158091,0.5068618350059378
72,114,50,1.01,0.03,0.33358559052152176,0.0821787839853368,2.005776363159036,0.5230654433388794
73,115,50,1.01,0.03,0.49600783402792004,0.0755905045660795,2.9844899631843296,0.5055920996979074
74,116,50,1.01,0.03,0.43845113956405457,0.07061626581331495,2.6231392546485854,0.40303097833931245
75,117,50,1.01,0.03,0.3308848362039851,0.10792572059466284,1.949719150683017,0.6263330013340221
76,118,50,1.01,0.03,0.35875392808163853,0.04784628657350041,2.139719015073387,0.31614928405037834
77,119,50,1.01,0.03,0.3746335431426472,0.10982968448041618,2.2843186224773415,0.6620339186424536
78,120,50,1.01,0.03,0.4055006991103357,0.13081510733573806,2.4515181173801017,0.7594987717861558
79,121,50,1.01,0.03,0.34784430486445334,0.10423841788788445,2.1062908645025296,0.6432292577627333
0,42,50,1.01,0.04,0.3901002261229688,0.04853410672487433,2.3071067729093655,0.27965896957639036
1,43,50,1.01,0.04,0.3784833421877801,0.06859130218543644,2.296587860491905,0.4604821746215199
2,44,50,1.01,0.04,0.3719155008311635,0.10654648586793822,2.2720577768951262,0.6312794833888625
3,45,50,1.01,0.04,0.3630396657510825,0.11069069985887674,2.1753862050065718,0.6831591642923516
4,46,50,1.01,0.04,0.33157255902670374,0.1386197699750721,1.9887541300649552,0.8136800011458251
5,47,50,1.01,0.04,0.41846194431187145,0.08046818159017023,2.5391751789034447,0.47095788820594847
6,48,50,1.01,0.04,0.3749782608695652,0.09149982071517479,2.2184003830227743,0.5437283402024734
7,49,50,1.01,0.04,0.382249306670559,0.1740424347575367,2.3108916836958113,1.0663632741872622
8,50,50,1.01,0.04,0.3447468975206674,0.08675607141457037,2.0844385737494457,0.5413019056856656
9,51,50,1.01,0.04,0.3277920006923704,0.11341425159101723,1.9479901360931056,0.6528480484840062
10,52,50,1.01,0.04,0.3672021004660736,0.09896235665487821,2.2220794540176074,0.5924894458105632
11,53,50,1.01,0.04,0.3859081151406733,0.10938731452389258,2.325635436578925,0.6691598407371658
12,54,50,1.01,0.04,0.33940169465277314,0.04519149158150436,2.0216075573549257,0.2983945359268383
13,55,50,1.01,0.04,0.35792130438041697,0.07229982983308354,2.1914840924603283,0.46649858507446784
14,56,50,1.01,0.04,0.32272980916504534,0.05653724013607926,1.9517905725048639,0.3654427757443687
15,57,50,1.01,0.04,0.34900812476825854,0.038193291541043846,2.0909489059706723,0.2547304090497961
