Tin,b,social_adaptation_rate,mean_final_cooperation,std_final_cooperation,mean_final_payoff,std_final_payoff
150,1.05,0.05,0.3023156781615299,0.03985908749072808,1.8672147836936321,0.24795260027328497
150,1.05,0.075,0.2511528841596435,0.04073788093371784,1.5577082505879918,0.248159093636927
150,1.05,0.1,0.21529780759139933,0.04009922743534858,1.3311412586237559,0.2468983388274768
150,1.05,0.125,0.18733325657068117,0.03623617408482719,1.1611764894266998,0.2217182051400159
150,1.05,0.15,0.16793619483639927,0.031009791491937874,1.0424766088134307,0.19063031190786228
150,1.05,0.175,0.1522841755433373,0.03306257502189478,0.9432249381602409,0.20418815336555993
150,1.05,0.2,0.12873075470076958,0.02519498549428368,0.8008401971777852,0.15875093590081396
150,1.05,0.25,0.11709786744916828,0.02920481737831809,0.7300784551088023,0.1836836869034678
150,1.1,0.02,0.3347452967345018,0.04666949542274423,2.118422416998785,0.2893253218931633
150,1.1,0.03,0.31807834200071583,0.04383984950763195,2.017715554962769,0.2754171074306339
150,1.1,0.04,0.29465134117375413,0.04164355763133038,1.872466418567067,0.2612424456761022
150,1.1,0.05,0.27653856163665613,0.04273783050496464,1.7577614161789856,0.2677294784893237
150,1.1,0.075,0.23841925250078636,0.03793070071845326,1.5195573088249839,0.23906676906907312
150,1.1,0.1,0.20777849382112099,0.03814815195091326,1.3281189063029513,0.23991178096227717
150,1.1,0.125,0.18172263939557112,0.03623256868102743,1.1633184105624328,0.22286814563347745
150,1.1,0.15,0.16538085957802198,0.032544461196998074,1.0644536890033802,0.2073315917517202
150,1.1,0.175,0.14603213784739705,0.03098547757178319,0.9372220298791174,0.19723577660345232
150,1.1,0.2,0.1301718919467591,0.026102830049627174,0.8430319300842397,0.1679760387816071
150,1.1,0.25,0.11495275224837917,0.02994075054240068,0.7394074809790557,0.19001518026642236
150,1.15,0.02,0.32206117949177665,0.04087676625592236,2.1001194361985354,0.259811700543499
150,1.15,0.03,0.3048481683400888,0.04074068962755147,1.9894807623581876,0.25835893893542217
150,1.15,0.04,0.2845698223884642,0.03833342886187714,1.8627273149628603,0.2399134192535316
150,1.15,0.05,0.2672155924020772,0.03603319492639747,1.7538047063973696,0.230804487637074
150,1.15,0.075,0.22701225544102802,0.037579513398325874,1.494172022832653,0.23721534423678062
