run_id,seed,b,social_adaptation_rate,final_mean_cooperation,final_std_cooperation_between_communities,final_mean_payoff,final_std_payoff_between_communities
21,63,1.1,0.25,0.09530628279360803,0.023251999185698598,0.6014480932180375,0.15138163996155432
22,64,1.1,0.25,0.09859152489518727,0.02682709220316545,0.6315097074483443,0.14404290175071643
23,65,1.1,0.25,0.11088580203825212,0.022948056099990444,0.7187727907301411,0.12702256980870072
24,66,1.1,0.25,0.09026470360869777,0.04191095467260777,0.5607081103402615,0.2485743804852756
25,67,1.1,0.25,0.12981672808385897,0.046786870044514144,0.860024576055198,0.317285706843522
26,68,1.1,0.25,0.12114650243682504,0.02993548548999382,0.781263057198541,0.17093310473926662
27,69,1.1,0.25,0.13090367352469773,0.05806557279400686,0.8276245272217994,0.3445309402305352
28,70,1.1,0.25,0.09207255698219459,0.045539215468720286,0.5860843472637016,0.280431469661385
29,71,1.1,0.25,0.10118400684735877,0.03230078877430497,0.6448762896155572,0.2127676802545514
0,42,1.2,0.03,0.30861799256952904,0.0473718452165753,2.114445998726491,0.3098352438531182
1,43,1.2,0.03,0.30442791614363984,0.09455851018972922,2.0429407909562856,0.5552032710835607
2,44,1.2,0.03,0.22221413125027584,0.09049567884707985,1.5486421877988144,0.6318806952458642
3,45,1.2,0.03,0.3224851628096011,0.06182983958375258,2.0997861725945546,0.3738244132771126
4,46,1.2,0.03,0.3167343401778137,0.11027964674627093,2.138452952326568,0.6935586586014423
5,47,1.2,0.03,0.2616266214493509,0.12315038173397266,1.7666032792599082,0.8386964282321661
6,48,1.2,0.03,0.265620082815735,0.08854490119253554,1.7868666666666666,0.5844103239654221
7,49,1.2,0.03,0.3063046757164404,0.13123938656402273,2.04539775215297,0.8412345863970248
8,50,1.2,0.03,0.30302206922842906,0.04185305558093746,2.049684481859758,0.28256989026560453
9,51,1.2,0.03,0.29580671364861766,0.09525443212437766,1.9783151111557298,0.5898955663864082
10,52,1.2,0.03,0.34436093035017956,0.04829550990095316,2.281712702007482,0.32357875959482607
11,53,1.2,0.03,0.3430215753239009,0.07123138724541397,2.3035914473123773,0.42984901347330323
12,54,1.2,0.03,0.29337797836331053,0.09355182084123348,1.9722115174443045,0.613388654410146
13,55,1.2,0.03,0.30238222519206204,0.11797465443716125,2.0111318060727377,0.7679622278912367
14,56,1.2,0.03,0.24502918408742805,0.08050174655493365,1.6459252501000399,0.5751306832778977
15,57,1.2,0.03,0.2828919269186423,0.04356987492544088,1.9476648827544927,0.2808495964023135
16,58,1.2,0.03,0.2651401182404222,0.09302296209528402,1.7875569470789436,0.579700717614903
17,59,1.2,0.03,0.31202117894246434,0.06805863565090522,2.0696141489257984,0.4522842224363446
