point,eta_s,delta_pi,round,mean_cooperation,std,n,ci95
colapso,0.1,0.4,184,0.055035941020198285,0.0024694581854311825,11,0.0014593565294211235
colapso,0.1,0.4,185,0.055731294558668806,0.0024253364217712682,11,0.001433282233340087
colapso,0.1,0.4,186,0.056007991103897536,0.0020200356383216675,11,0.0011937647763545192
colapso,0.1,0.4,187,0.054737166013509794,0.0012116115938449487,11,0.0007160166959017475
colapso,0.1,0.4,188,0.054854278169709586,0.0017548214363715818,11,0.001037033198717585
colapso,0.1,0.4,189,0.055246435696777986,0.001951393821137368,11,0.001153200054631261
colapso,0.1,0.4,190,0.05528294759562105,0.0017116544907203263,11,0.0010115231640213194
colapso,0.1,0.4,191,0.055032677497338,0.0016555299577934355,11,0.0009783556845836111
colapso,0.1,0.4,192,0.05492002774041536,0.0017855915829042923,11,0.0010552171932952925
colapso,0.1,0.4,193,0.05457693789867767,0.0021282081298489596,11,0.0012576906337532915
colapso,0.1,0.4,194,0.05464415624592505,0.0031886453692694062,11,0.0018843689952333534
colapso,0.1,0.4,195,0.05386711764304611,0.003011370276041314,11,0.0017796061098634265
colapso,0.1,0.4,196,0.05390943657943548,0.002720593582618007,11,0.001607768065123789
colapso,0.1,0.4,197,0.054246330665924616,0.002062500284755158,11,0.0012188597787351541
colapso,0.1,0.4,198,0.055543435321124005,0.001972904440556287,11,0.0011659120183673106
colapso,0.1,0.4,199,0.054844392595317856,0.0013159288945050452,11,0.0007776642810878546
colapso,0.1,0.4,200,0.05558500522657534,0.001198374346739635,11,0.0007081939827622142
cooperativo,0.6,0.02,0,0.44967205999698834,0.0016748335904655822,11,0.0009897634024983511
cooperativo,0.6,0.02,1,0.4755721061155956,0.0028317583068458657,11,0.0016734622190480426
cooperativo,0.6,0.02,2,0.4812895974163693,0.0038335938621638505,11,0.002265509198294325
cooperativo,0.6,0.02,3,0.4795844819223414,0.005168101816398297,11,0.0030541530020509844
cooperativo,0.6,0.02,4,0.4810506519454322,0.004421582353132414,11,0.002612988191290362
cooperativo,0.6,0.02,5,0.48306472532605527,0.004803878579334212,11,0.0028389108237010154
cooperativo,0.6,0.02,6,0.48461320368075084,0.0032113427035938722,11,0.0018977822626627349
cooperativo,0.6,0.02,7,0.4864187338562187,0.0062206418075011465,11,0.003676164388011988
cooperativo,0.6,0.02,8,0.48656991196025584,0.006671830337050286,11,0.003942799770008741
cooperativo,0.6,0.02,9,0.48823361841922625,0.005740673810531316,11,0.0033925214276154755
cooperativo,0.6,0.02,10,0.4893515224022785,0.005710487234058527,11,0.003374682300904876
cooperativo,0.6,0.02,11,0.489740970198474,0.00635443146672023,11,0.0037552290240938113
cooperativo,0.6,0.02,12,0.48944256759753385,0.007346126473077036,11,0.004341283321858093
cooperativo,0.6,0.02,13,0.4928094427985928,0.004098162663599004,11,0.0024218593686002447
cooperativo,0.6,0.02,14,0.4916697842835093,0.003883696878764181,11,0.002295118188983358
cooperativo,0.6,0.02,15,0.49399067492500315,0.0064737550025466915,11,0.003825744727558358
cooperativo,0.6,0.02,16,0.4940001123395838,0.0039709233723378215,11,0.002346665752609334
cooperativo,0.6,0.02,17,0.4953512021743364,0.0029615161778998498,11,0.0017501442205832708
cooperativo,0.6,0.02,18,0.49589815847804514,0.0038924147001627926,11,0.002300270092204659
cooperativo,0.6,0.02,19,0.49710448670785345,0.0045041275266457965,11,0.002661769271549034
cooperativo,0.6,0.02,20,0.49547255422374853,0.0037555515825795755,11,0.0022193891582976432
cooperativo,0.6,0.02,21,0.4946925053500244,0.005058015786454494,11,0.00298909631571212
cooperativo,0.6,0.02,22,0.4963258839937121,0.005223487489764631,11,0.00308688384339116
cooperativo,0.6,0.02,23,0.4963509119389982,0.004226967162958115,11,0.00249797796346753
cooperativo,0.6,0.02,24,0.49531256237949783,0.005220491928347959,11,0.003085113579720168
cooperativo,0.6,0.02,25,0.49580488310363474,0.004962929759261,11,0.0029329040645291703
cooperativo,0.6,0.02,26,0.4964648204567828,0.004289612035381814,11,0.002534998717309659
cooperativo,0.6,0.02,27,0.4962341909519431,0.005396540340095194,11,0.0031891515426600778
cooperativo,0.6,0.02,28,0.4989309112637408,0.00529820988703316,11,0.003131041958313356
cooperativo,0.6,0.02,29,0.49937674756259476,0.005534343649837496,11,0.003270588094627106
cooperativo,0.6,0.02,30,0.49653808373300695,0.00439375849935298,11,0.0025965453444641924
cooperativo,0.6,0.02,31,0.4975174098246709,0.005378615088867414,11,0.003178558396124897
