run_id,seed,final_mean_cooperation,final_std_cooperation_between_communities,final_mean_payoff,expected_global_cooperation,observed_global_cooperation,num_intercommunity_edges,corr_size_cooperation,corr_degree_cooperation,intercommunity_mutual_coop_rate,mean_external_payoff,corr_climate_cooperation,std_climate,avg_degree,channel,b,Tin,social_adaptation_rate,epsilon_perception,epsilon_execution,delta_D,delta_pi,rho,num_epochs,rounds_per_epoch,het_b_lo,het_b_hi,spread,eta_s,rho_s
10,1001000,0.1894513560916548,0.0425219780528283,2.364355071198049,0.2815162110111427,0.29,153,-0.1790320441665217,0.0835541110854111,0.0784313725490196,1.08,-0.0412872196912823,0.2802799678636006,3.06,social,2.5,800,0.1,0.02,0.01,0.05,0.1,0.25,10,120,1.5,3.5,1.0,0.1,0.25
11,1101000,0.1799406578881976,0.0427560984004677,2.2857360319796607,0.2772858164986724,0.29,155,0.0529666318397167,0.1083923283978513,0.1354838709677419,1.41,-0.0042210654829109,0.3264705437025008,3.1,social,2.5,800,0.1,0.02,0.01,0.05,0.1,0.25,10,120,1.5,3.5,1.0,0.1,0.25
13,1301000,0.195687768462554,0.0461464095742237,2.45241573040404,0.2744225732765214,0.25,142,0.1172497850275677,-0.0008273714454691,0.0633802816901408,0.975,0.0076319964746783,0.3001414866732375,2.84,social,2.5,800,0.1,0.02,0.01,0.05,0.1,0.25,10,120,1.5,3.5,1.0,0.1,0.25
19,1901000,0.1892891928907767,0.048042528362827,2.3711539923974216,0.2796358724303298,0.28,140,0.1885737270492125,0.1433149657703946,0.0428571428571428,1.02,0.0925740234429045,0.2463685622324949,2.8,social,2.5,800,0.1,0.02,0.01,0.05,0.1,0.25,10,120,1.5,3.5,1.0,0.1,0.25
12,1201000,0.1863580429600707,0.0449726294647738,2.340408928985664,0.3031116012299795,0.3,120,-0.066814001960643,-0.1516444558981994,0.125,0.975,-0.0871687920009795,0.3159492482721266,2.4,social,2.5,800,0.1,0.02,0.01,0.05,0.1,0.25,10,120,1.5,3.5,1.0,0.1,0.25
18,1801000,0.1861772946788286,0.0496402972705695,2.3441412979448093,0.2443850619150691,0.25,147,0.0969522960049739,0.0287248793727115,0.0408163265306122,1.065,-0.0011804455117531,0.2714086906961618,2.94,social,2.5,800,0.1,0.02,0.01,0.05,0.1,0.25,10,120,1.5,3.5,1.0,0.1,0.25
16,1601000,0.1863498621651421,0.0386110055661737,2.3466000640438893,0.2665366970147372,0.25,153,0.186615376239325,-0.0044659699603365,0.0522875816993464,1.0,0.0602796059677829,0.2749538823592317,3.06,social,2.5,800,0.1,0.02,0.01,0.05,0.1,0.25,10,120,1.5,3.5,1.0,0.1,0.25
17,1701000,0.1798640237827722,0.0448487086130882,2.2760832856498614,0.2886181421200486,0.25,142,-0.0086769337845898,0.1184427285243585,0.0845070422535211,1.11,-0.0074642994747417,0.3213174176478789,2.84,social,2.5,800,0.1,0.02,0.01,0.05,0.1,0.25,10,120,1.5,3.5,1.0,0.1,0.25
21,2101000,0.186828261876981,0.0494206984285294,2.3473637849353013,0.2657861907734371,0.28,141,-0.1205388283837113,-0.0450245142944579,0.0921985815602836,1.07,-0.2151550227379459,0.2742031451692031,2.82,social,2.5,800,0.1,0.02,0.01,0.05,0.1,0.25,10,120,1.5,3.5,1.0,0.1,0.25
15,1501000,0.1839378945658226,0.0465459542064456,2.3461576768892227,0.2856751529755989,0.26,167,-0.0270619811932109,-0.0516887806527717,0.0778443113772455,1.22,-0.0044724509755423,0.2715578981269876,3.34,social,2.5,800,0.1,0.02,0.01,0.05,0.1,0.25,10,120,1.5,3.5,1.0,0.1,0.25
